95,87
83,89
96,78
95,87
95,91
91,88
96,94
87,74
93,78
82,92
89,83
98,98
103,95
88,91
91,80
97,76
73,97
92,87
87,97
93,93
82,80
94,80
84,77
90,91
92,97
91,96
95,86
86,87
97,80
97,88
90,91
94,82
93,74
96,90
87,95
89,96
95,81
90,89
83,93
105,90
83,75
87,90
73,97
98,75
89,84
99,99
95,90
98,75
95,91
90,82
89,86
110,82
100,94
102,90
88,92
77,96
94,78
93,90
100,93
90,81
91,82
96,74
90,72
84,87
91,96
98,84
83,91
97,83
95,88
96,90
85,99
105,92
93,86
93,78
96,88
90,88
82,91
102,91
87,77
88,89
95,79
94,91
100,85
87,89
91,100
89,75
90,88
89,76
98,91
85,90
89,99
85,94
92,98
76,99
97,87
96,77
83,95
76,102
108,86
100,84
90,76
97,76
98,86
83,90
92,80
95,80
93,74
101,87
97,92
85,90
103,92
85,80
83,93
94,89
86,87
90,99
93,89
106,86
112,88
92,84
92,89
81,89
82,75
80,90
83,91
103,84
92,84
90,84
100,87
89,78
87,92
96,89
90,81
93,75
93,86
93,91
93,79
97,90
92,100
81,98
92,90
108,86
89,92
83,87
95,83
93,89
96,87
97,98
93,84
81,95
96,97
89,89
80,87
102,89
115,86
89,78
83,89
112,91
87,84
97,79
113,87
94,101
96,75
104,93
92,90
75,97
91,78
100,83
99,88
97,74
92,76
91,98
86,73
92,99
99,89
97,98
90,90
83,90
94,88
96,79
78,101
89,87
93,76
98,91
105,88
91,75
84,80
104,93
91,81
80,93
90,76
98,85
88,94
94,86
89,97
92,83
91,98
91,80
91,76
90,78
85,89
96,80
102,90
94,87
95,77
107,88
91,100
90,76
95,73
87,90
79,94
97,88
91,91
99,91
92,100
102,86
95,75
115,88
104,88
95,87
81,95
86,82
91,101
92,96
96,85
92,71
98,81
86,93
104,90
83,90
83,77
92,89
89,75
91,78
79,95
109,83
102,91
94,75
92,94
95,83
95,78
110,87
92,85
111,86
90,74
103,84
93,84
85,88
86,90
83,73
86,89
98,88
89,76
98,94
82,94
104,95
83,91
105,91
95,83
102,88
